season,date,gid,phase,away,home,away_1p,home_1p,total_1p,u25,ft,et_hour,dow,weekend,away_rest,home_rest,away_r5,home_r5,away_r15_n,home_r15_n,away_r15,home_r15,comb_r5_pct,comb_r15_pct,home_venue_r10,away_road_r10,env_1p_goals,env_1p_sog,env_1p_xg,h2h_last_u25,away_goalie,home_goalie,away_goalie_cls,home_goalie_cls,goalie_pair,total_line,espn_total,espn_books,espn_span
2021,2021-10-12,2021020001,reg,PIT,TBL,0,0,0,1,8,19.5,1,0,,,,,0,0,0,0,,,,,,,,,jarry,vasilevskiy,,,,,5.5,12,0.5
2021,2021-10-12,2021020002,reg,SEA,VGK,0,2,2,1,7,22.0,1,0,,,,,0,0,0,0,,,,,,,,,grubauer,lehner,,,,,5.5,13,0.0
2021,2021-10-13,2021020003,reg,MTL,TOR,1,1,2,1,3,19.0,2,0,,,,,0,0,0,0,,,,,,,,,allen,campbell,,,,,6.0,11,0.5
2021,2021-10-13,2021020004,reg,NYR,WSH,0,1,1,1,6,19.5,2,0,,,,,0,0,0,0,,,,,,,,,georgiev,vanecek,,,,,6.0,12,1.0
2021,2021-10-13,2021020005,reg,CHI,COL,1,3,4,0,6,22.0,2,0,,,,,0,0,0,0,,,,,,,,,fleury,kuemper,,,,,6.0,12,0.5
2021,2021-10-13,2021020006,reg,VAN,EDM,0,1,1,1,5,22.0,2,0,,,,,0,0,0,0,,,,,,,,,demko,smith,,,,,6.5,12,1.0
2021,2021-10-13,2021020015,reg,WPG,ANA,0,2,2,1,5,22.0,2,0,,,,,0,0,0,0,,,,,,,,,hellebuyck,gibson,,,,,5.5,13,0.0
2021,2021-10-14,2021020007,reg,MTL,BUF,0,2,2,1,6,19.0,3,0,1,,,,1,0,1,0,,,,,,,,,montembeault,anderson,,,,,5.5,13,0.5
2021,2021-10-14,2021020008,reg,TOR,OTT,0,3,3,0,5,19.0,3,0,1,,,,1,0,1,0,,,,,,,,,mrazek,forsberg,,,,,6.5,12,1.0
2021,2021-10-14,2021020009,reg,TBL,DET,0,1,1,1,13,19.5,3,0,2,,,,1,0,1,0,,,,,,,,,vasilevskiy,nedeljkovic,,,,,5.5,12,0.0
2021,2021-10-14,2021020010,reg,PIT,FLA,0,1,1,1,9,19.0,3,0,2,,,,1,0,1,0,,,,,,,,,desmith,bobrovsky,,,,,6.5,13,1.0
2021,2021-10-14,2021020011,reg,DAL,NYR,1,0,1,1,5,19.0,3,0,,1,,,0,1,0,1,,,,,,,,,holtby,shesterkin,,,,,6.0,12,0.5
2021,2021-10-14,2021020012,reg,NYI,CAR,1,2,3,0,9,19.0,3,0,,,,,0,0,0,0,,,,,,,,,sorokin,andersen,,,,,5.5,13,0.0
