season,date,gid,phase,away,home,away_1p,home_1p,total_1p,u25,ft,et_hour,dow,weekend,away_rest,home_rest,away_r5,home_r5,away_r15_n,home_r15_n,away_r15,home_r15,comb_r5_pct,comb_r15_pct,home_venue_r10,away_road_r10,env_1p_goals,env_1p_sog,env_1p_xg,h2h_last_u25,away_goalie,home_goalie,away_goalie_cls,home_goalie_cls,goalie_pair,total_line,espn_total,espn_books,espn_span
2023,2023-10-10,2023020001,reg,NSH,TBL,0,1,1,1,8,17.5,1,0,,,,,0,0,0,0,,,,,,,,,saros,johansson,,,,,6.5,12,2.0
2023,2023-10-10,2023020002,reg,CHI,PIT,0,1,1,1,6,20.0,1,0,,,,,0,0,0,0,,,,,,,,,mrazek,jarry,,,,,6.5,12,1.0
2023,2023-10-10,2023020003,reg,SEA,VGK,0,2,2,1,5,22.5,1,0,,,,,0,0,0,0,,,,,,,,,grubauer,hill,,,,,6.0,12,1.0
2023,2023-10-11,2023020004,reg,OTT,CAR,1,0,1,1,8,19.0,2,0,,,,,0,0,0,0,,,,,,,,,korpisalo,andersen,,,,,6.0,11,1.0
2023,2023-10-11,2023020005,reg,MTL,TOR,1,0,1,1,11,19.0,2,0,,,,,0,0,0,0,,,,,,,,,allen,samsonov,,,,,6.5,11,1.0
2023,2023-10-11,2023020006,reg,CHI,BOS,1,1,2,1,4,19.5,2,0,1,,,,1,0,1,0,,,,,,,,,soderblom,ullmark,,,,,6.5,11,1.0
2023,2023-10-11,2023020007,reg,WPG,CGY,1,2,3,0,8,22.0,2,0,,,,,0,0,0,0,,,,,,,,,hellebuyck,markstrom,,,,,6.0,11,1.0
2023,2023-10-11,2023020008,reg,COL,LAK,1,0,1,1,7,22.0,2,0,,,,,0,0,0,0,,,,,,,,,georgiev,talbot,,,,,6.0,11,1.0
2023,2023-10-11,2023020009,reg,EDM,VAN,0,2,2,1,9,22.0,2,0,,,,,0,0,0,0,,,,,,,,,campbell,demko,,,,,6.5,11,1.5
2023,2023-10-12,2023020010,reg,NYR,BUF,2,0,2,1,6,19.0,3,0,,,,,0,0,0,0,,,,,,,,,shesterkin,levi,,,,,6.5,12,1.0
2023,2023-10-12,2023020011,reg,PHI,CBJ,2,1,3,0,6,19.0,3,0,,,,,0,0,0,0,,,,,,,,,hart,merzlikins,,,,,6.5,12,1.0
2023,2023-10-12,2023020012,reg,DET,NJD,0,0,0,1,7,19.5,3,0,,,,,0,0,0,0,,,,,,,,,husso,vanecek,,,,,6.5,12,1.0
2023,2023-10-12,2023020013,reg,STL,DAL,0,0,0,1,3,20.0,3,0,,,,,0,0,0,0,,,,,,,,,binnington,oettinger,,,,,6.5,12,1.0
