season,date,gid,phase,away,home,away_1p,home_1p,total_1p,u25,ft,et_hour,dow,weekend,away_rest,home_rest,away_r5,home_r5,away_r15_n,home_r15_n,away_r15,home_r15,comb_r5_pct,comb_r15_pct,home_venue_r10,away_road_r10,env_1p_goals,env_1p_sog,env_1p_xg,h2h_last_u25,away_goalie,home_goalie,away_goalie_cls,home_goalie_cls,goalie_pair,total_line,espn_total,espn_books,espn_span
2024,2024-10-04,2024020001,reg,NJD,BUF,2,0,2,1,5,13.0,4,0,,,,,0,0,0,0,,,,,,,,,markstrom,luukkonen,,,,,6.5,1,0.0
2024,2024-10-05,2024020002,reg,BUF,NJD,0,0,0,1,4,10.0,5,1,1,1,,,1,1,1,1,,,,,2.0,18.0,1.37,1,levi,allen,,,,,6.5,1,0.0
2024,2024-10-08,2024020003,reg,STL,SEA,0,0,0,1,5,16.5,1,0,,,,,0,0,0,0,,,,,,,,,binnington,grubauer,,,,,5.5,1,0.0
2024,2024-10-08,2024020004,reg,BOS,FLA,1,4,5,0,10,19.0,1,0,,,,,0,0,0,0,,,,,,,,,korpisalo,bobrovsky,,,,,5.5,1,0.0
2024,2024-10-08,2024020005,reg,CHI,UTA,0,2,2,1,7,22.0,1,0,,,,,0,0,0,0,,,,,,,,,mrazek,ingram,,,,,6.5,1,0.0
2024,2024-10-09,2024020006,reg,TOR,MTL,0,1,1,1,1,19.0,2,0,,,,,0,0,0,0,,,,,,,,,stolarz,montembeault,,,,,6.5,1,0.0
2024,2024-10-09,2024020007,reg,NYR,PIT,3,0,3,0,6,19.5,2,0,,,,,0,0,0,0,,,,,,,,,shesterkin,jarry,,,,,6.5,1,0.0
2024,2024-10-09,2024020008,reg,WPG,EDM,2,0,2,1,6,22.0,2,0,,,,,0,0,0,0,,,,,,,,,hellebuyck,skinner,,,,,6.5,1,0.0
2024,2024-10-09,2024020009,reg,CGY,VAN,1,4,5,0,11,22.0,2,0,,,,,0,0,0,0,,,,,,,,,vladar,silovs,,,,,6.5,1,0.0
2024,2024-10-09,2024020010,reg,COL,VGK,1,3,4,0,12,22.0,2,0,,,,,0,0,0,0,,,,,,,,,georgiev,hill,,,,,6.5,1,0.0
2024,2024-10-10,2024020011,reg,MTL,BOS,2,3,5,0,10,19.0,3,0,1,2,,,1,1,1,0,,,,,3.0,31.0,2.4501,,primeau,swayman,,,,,5.5,1,0.0
2024,2024-10-10,2024020012,reg,LAK,BUF,0,0,0,1,4,19.0,3,0,,5,,,0,2,0,2,,,,,,,,,kuemper,luukkonen,,,,,6.5,1,0.0
2024,2024-10-10,2024020013,reg,FLA,OTT,0,2,2,1,4,19.0,3,0,2,,,,1,0,0,0,,,,,,,,,bobrovsky,ullmark,,,,,6.5,1,0.0
2024,2024-10-10,2024020014,reg,PIT,DET,1,1,2,1,9,20.0,3,0,1,,,,1,0,0,0,,,,,,,,,blomqvist,husso,,,,,6.5,1,0.0
2024,2024-10-10,2024020015,reg,TOR,NJD,3,1,4,0,6,19.0,3,0,1,5,,,1,2,1,2,,,,,1.0,25.25,2.0559,,hildeby,markstrom,,,,,6.5,1,0.0
2024,2024-10-10,2024020016,reg,UTA,NYI,1,1,2,1,9,19.5,3,0,2,,,,1,0,1,0,,,,,,,,,ingram,varlamov,,,,,5.5,1,0.0
2024,2024-10-10,2024020017,reg,DAL,NSH,0,0,0,1,7,20.0,3,0,,,,,0,0,0,0,,,,,,,,,oettinger,wedgewood,,,,,6.5,1,0.0
2024,2024-10-10,2024020018,reg,CBJ,MIN,0,1,1,1,5,20.0,3,0,,,,,0,0,0,0,,,,,,,,,merzlikins,gustavsson,,,,,6.5,1,0.0
2024,2024-10-10,2024020019,reg,STL,SJS,1,2,3,0,9,22.5,3,0,2,,,,1,0,1,0,,,,,,,,,hofer,blackwood,,,,,5.5,1,0.0
2024,2024-10-11,2024020020,reg,TBL,CAR,0,1,1,1,5,19.0,4,0,,,,,0,0,0,0,,,,,,,,,vasilevskiy,andersen,,,,,6.5,1,0.0
2024,2024-10-11,2024020021,reg,CHI,WPG,0,0,0,1,3,20.0,4,0,3,2,,,1,1,1,1,,,,,2.0,13.5,1.1778,,soderblom,hellebuyck,,,,,6.5,1,0.0
2024,2024-10-11,2024020022,reg,PHI,VAN,1,1,2,1,5,22.0,4,0,,2,,,0,1,0,0,,,,,,,,,ersson,lankinen,,,,,5.5,1,0.0
2024,2024-10-11,2024020023,reg,STL,VGK,1,2,3,0,7,22.0,4,0,1,2,,,2,1,1,0,,,,,2.75,24.5,2.4597,,binnington,hill,,,,,5.5,1,0.0
2024,2024-10-12,2024020024,reg,LAK,BOS,0,0,0,1,3,13.0,5,1,2,2,,,1,2,1,0,,,,,2.5,20.5,2.1263,,kuemper,swayman,,,,,5.5,1,0.0
2024,2024-10-12,2024020025,reg,FLA,BUF,1,2,3,0,7,19.0,5,1,2,2,,,2,3,1,3,,,,,2.083,22.16,1.7612,,knight,levi,,,,,5.5,1,0.0
2024,2024-10-12,2024020026,reg,PIT,TOR,1,0,1,1,6,19.0,5,1,2,2,,,2,2,1,1,,,,,2.5,24.5,2.1688,,blomqvist,stolarz,,,,,6.5,1,0.0
2024,2024-10-12,2024020027,reg,OTT,MTL,0,2,2,1,5,19.0,5,1,2,2,,,1,2,1,1,,,,,2.5,25.5,2.3108,,ullmark,montembeault,,,,,6.5,1,0.0
2024,2024-10-12,2024020028,reg,NSH,DET,0,0,0,1,3,19.0,5,1,2,2,,,1,1,1,1,,,,,1.0,16.0,1.5324,,saros,talbot,,,,,6.5,1,0.0
2024,2024-10-12,2024020030,reg,UTA,NYR,1,1,2,1,11,19.0,5,1,2,3,,,2,1,2,0,,,,,2.5,19.0,2.3281,,ingram,shesterkin,,,,,5.5,1,0.0
2024,2024-10-12,2024020031,reg,NJD,WSH,2,1,3,0,8,19.0,5,1,2,,,,3,0,2,0,,,,,,,,,markstrom,lindgren,,,,,5.5,1,0.0
2024,2024-10-12,2024020032,reg,NYI,DAL,0,1,1,1,3,20.0,5,1,2,2,,,1,1,1,1,,,,,1.0,14.0,1.9672,,varlamov,oettinger,,,,,5.5,1,0.0
2024,2024-10-12,2024020033,reg,SEA,MIN,0,1,1,1,9,20.0,5,1,4,2,,,1,1,1,1,,,,,0.5,18.0,1.8355,,daccord,fleury,,,,,5.5,1,0.0
2024,2024-10-12,2024020034,reg,CBJ,COL,2,1,3,0,10,21.0,5,1,2,3,,,1,1,1,0,,,,,2.5,22.0,1.9062,,tarasov,georgiev,,,,,6.5,1,0.0
2024,2024-10-12,2024020035,reg,PHI,CGY,0,2,2,1,9,22.0,5,1,1,3,,,1,1,1,0,,,,,3.5,21.0,2.5726,,fedotov,wolf,,,,,6.5,1,0.0
2024,2024-10-12,2024020036,reg,CHI,EDM,1,0,1,1,7,22.0,5,1,1,3,,,2,1,2,1,,,,,1.5,14.25,1.3297,,mrazek,pickard,,,,,6.5,1,0.0
2024,2024-10-12,2024020037,reg,ANA,SJS,0,0,0,1,2,22.0,5,1,,2,,,0,1,0,0,,,,,,,,,dostal,vanecek,,,,,6.5,1,0.0
2024,2024-10-13,2024020038,reg,MIN,WPG,1,1,2,1,3,18.0,6,1,1,2,,,2,2,2,2,,,,,1.0,18.25,1.4245,,gustavsson,hellebuyck,,,,,5.5,1,0.0
2024,2024-10-13,2024020039,reg,SEA,DAL,0,2,2,1,2,20.0,6,1,1,1,,,2,2,2,2,,,,,0.5,17.75,1.4726,,grubauer,desmith,,,,,6.5,1,0.0
2024,2024-10-13,2024020040,reg,CGY,EDM,0,1,1,1,5,20.0,6,1,1,1,,,2,2,1,2,,,,,2.5,21.25,1.6309,,vladar,skinner,,,,,6.5,1,0.0
2024,2024-10-13,2024020041,reg,ANA,VGK,1,1,2,1,4,22.0,6,1,1,2,,,1,2,1,0,,,,,1.75,19.25,1.6008,,reimer,samsonov,,,,,6.5,1,0.0
2024,2024-10-14,2024020042,reg,FLA,BOS,2,1,3,0,7,13.0,0,0,2,2,,,3,3,1,1,,,,,3.333,22.0,2.1502,0,bobrovsky,swayman,,,,,5.5,1,0.0
2024,2024-10-14,2024020043,reg,LAK,OTT,2,1,3,0,15,13.0,0,0,2,2,,,2,2,2,2,,,,,1.0,16.75,1.5205,,kuemper,forsberg,,,,,5.5,1,0.0
2024,2024-10-14,2024020044,reg,UTA,NJD,0,0,0,1,3,13.0,0,0,2,2,,,3,4,3,2,,,,,2.125,16.54,1.6751,,vejmelka,allen,,,,,6.5,1,0.0
2024,2024-10-14,2024020045,reg,DET,NYR,1,1,2,1,5,19.0,0,0,2,2,,,2,2,2,1,,,,,1.75,20.75,2.0752,,lyon,shesterkin,,,,,6.5,1,0.0
2024,2024-10-14,2024020046,reg,PIT,MTL,2,1,3,0,9,19.5,0,0,2,2,,,3,3,2,2,,,,,2.333,20.66,2.1227,,jarry,montembeault,,,,,6.5,1,0.0
2024,2024-10-14,2024020047,reg,NYI,COL,2,1,3,0,8,21.0,0,0,2,2,,,2,2,2,0,,,,,2.5,19.25,1.8638,,sorokin,georgiev,,,,,6.5,1,0.0
2024,2024-10-15,2024020048,reg,VAN,TBL,0,1,1,1,5,19.0,1,0,4,4,,,2,1,1,1,,,,,2.25,18.0,2.2502,,silovs,vasilevskiy,,,,,6.5,1,0.0
2024,2024-10-15,2024020049,reg,VGK,WSH,1,1,2,1,6,19.0,1,0,2,3,,,3,1,1,0,,,,,3.0,21.5,1.8597,,hill,thompson,,,,,5.5,1,0.0
2024,2024-10-15,2024020050,reg,NJD,CAR,0,0,0,1,6,19.0,1,0,1,4,3,,5,1,3,1,,,,,1.4,16.5,1.758,,markstrom,kochetkov,,,,,6.5,1,0.0
2024,2024-10-15,2024020051,reg,FLA,CBJ,0,0,0,1,7,19.0,1,0,1,3,,,4,2,1,1,,,,,2.625,20.62,1.7895,,knight,merzlikins,,,,,6.5,1,0.0
2024,2024-10-15,2024020052,reg,MIN,STL,1,0,1,1,5,19.5,1,0,2,4,,,3,3,3,1,,,,,1.667,20.5,1.7428,,gustavsson,binnington,,,,,5.5,1,0.0
2024,2024-10-15,2024020053,reg,SEA,NSH,3,2,5,0,10,20.0,1,0,2,3,,,3,2,3,2,,,,,0.5,19.0,1.6555,,daccord,saros,,,,,5.5,1,0.0
2024,2024-10-15,2024020054,reg,SJS,DAL,0,0,0,1,5,20.0,1,0,3,2,,,2,3,1,3,,,,,1.25,20.41,1.8375,,blackwood,oettinger,,,,,5.5,1,0.0
2024,2024-10-15,2024020055,reg,CHI,CGY,1,1,2,1,4,21.0,1,0,3,2,,,3,3,3,2,,,,,1.833,17.66,1.6276,,mrazek,wolf,,,,,6.5,1,0.0
2024,2024-10-15,2024020056,reg,PHI,EDM,2,0,2,1,7,22.0,1,0,3,2,,,2,3,2,3,,,,,1.667,21.16,1.961,,ersson,skinner,,,,,6.5,1,0.0
2024,2024-10-16,2024020057,reg,BUF,PIT,3,1,4,0,11,19.0,2,0,4,2,,,4,4,3,2,,,,,1.75,18.25,1.7603,,luukkonen,jarry,,,,,6.5,1,0.0
2024,2024-10-16,2024020058,reg,LAK,TOR,0,3,3,0,8,19.5,2,0,2,4,,,3,3,2,2,,,,,1.5,19.66,1.7298,,rittich,stolarz,,,,,6.5,1,0.0
2024,2024-10-16,2024020059,reg,BOS,COL,2,1,3,0,8,21.5,2,0,2,2,,,4,3,1,0,,,,,3.292,22.38,2.242,,korpisalo,georgiev,,,,,6.5,1,0.0
2024,2024-10-16,2024020060,reg,UTA,ANA,2,1,3,0,9,22.0,2,0,2,3,,,4,2,4,2,,,,,1.25,14.88,1.8217,,ingram,dostal,,,,,6.5,1,0.0
2024,2024-10-17,2024020061,reg,LAK,MTL,1,1,2,1,5,19.0,3,0,1,3,,,4,4,2,2,,,,,2.125,18.75,1.9375,,rittich,montembeault,,,,,5.5,1,0.0
2024,2024-10-17,2024020062,reg,NJD,OTT,0,0,0,1,4,19.0,3,0,2,3,3,,6,3,4,2,,,,,1.917,17.75,1.5896,,markstrom,forsberg,,,,,6.5,1,0.0
2024,2024-10-17,2024020063,reg,NYR,DET,2,0,2,1,7,19.5,3,0,3,3,,,3,3,2,3,,,,,1.833,20.16,1.7599,1,quick,talbot,,,,,6.5,1,0.0
2024,2024-10-17,2024020064,reg,VGK,TBL,2,2,4,0,7,19.0,3,0,2,2,,,4,2,2,2,,,,,1.875,17.62,2.0968,,hill,vasilevskiy,,,,,6.5,1,0.0
2024,2024-10-17,2024020065,reg,VAN,FLA,1,1,2,1,5,19.0,3,0,2,2,,2,3,5,2,2,,,,,2.633,20.84,2.2035,,lankinen,bobrovsky,,,,,5.5,1,0.0
2024,2024-10-17,2024020066,reg,DAL,WSH,1,0,1,1,5,19.0,3,0,2,2,,,4,2,4,1,,,,,1.625,18.0,1.6526,,desmith,lindgren,,,,,5.5,1,0.0
2024,2024-10-17,2024020067,reg,BUF,CBJ,0,2,2,1,10,19.0,3,0,1,2,3,,5,3,3,2,,,,,1.567,17.5,1.6052,,levi,tarasov,,,,,6.5,1,0.0
2024,2024-10-17,2024020068,reg,NYI,STL,0,0,0,1,1,20.0,3,0,3,2,,,3,4,2,2,,,,,1.875,19.75,2.1567,,sorokin,hofer,,,,,5.5,1,0.0
2024,2024-10-17,2024020069,reg,EDM,NSH,1,1,2,1,6,20.0,3,0,2,2,,,4,3,4,2,,,,,1.583,19.04,1.5735,,pickard,saros,,,,,6.5,1,0.0
2024,2024-10-17,2024020070,reg,SJS,CHI,0,2,2,1,6,20.5,3,0,2,2,,,3,4,2,4,,,,,1.125,19.09,1.8021,,vanecek,mrazek,,,,,6.5,1,0.0
2024,2024-10-17,2024020071,reg,PHI,SEA,2,1,3,0,10,22.0,3,0,2,2,,,3,4,3,3,,,,,2.0,22.12,1.9004,,fedotov,grubauer,,,,,6.5,1,0.0
2024,2024-10-18,2024020072,reg,CAR,PIT,1,1,2,1,5,19.0,4,0,3,2,,2,2,5,2,2,,,,,1.55,17.5,2.0088,,andersen,blomqvist,,,,,6.5,1,0.0
2024,2024-10-18,2024020073,reg,SJS,WPG,1,4,5,0,11,20.0,4,0,1,5,,,4,3,3,3,,,,,1.292,17.91,1.665,,blackwood,hellebuyck,,,,,5.5,1,0.0
2024,2024-10-18,2024020074,reg,ANA,COL,2,0,2,1,7,21.0,4,0,2,2,,,3,4,2,0,,,,,2.458,20.04,2.0197,,dostal,georgiev,,,,,6.5,1,0.0
2024,2024-10-19,2024020075,reg,TBL,OTT,0,2,2,1,9,13.0,5,1,2,2,,,3,4,2,3,,,,,1.875,18.0,1.8303,,vasilevskiy,forsberg,,,,,6.5,1,0.0
2024,2024-10-19,2024020076,reg,DET,NSH,1,1,2,1,7,14.0,5,1,2,2,,,4,4,4,3,,,,,1.625,20.88,1.7614,1,lyon,saros,,,,,6.5,1,0.0
2024,2024-10-19,2024020077,reg,EDM,DAL,0,0,0,1,5,16.0,5,1,2,2,5,5,5,5,5,5,100.0,,,,1.2,17.4,1.4423,,skinner,oettinger,,,,,6.5,1,0.0
2024,2024-10-19,2024020078,reg,VGK,FLA,1,0,1,1,7,18.0,5,1,2,2,2,3,5,6,2,3,50.0,,,,2.75,18.84,1.8543,,samsonov,bobrovsky,,,,,5.5,1,0.0
2024,2024-10-19,2024020079,reg,NYR,TOR,1,0,1,1,5,19.0,5,1,2,3,,,4,4,3,2,,,,,2.25,21.12,2.0306,,shesterkin,stolarz,,,,,6.5,1,0.0
2024,2024-10-19,2024020080,reg,WSH,NJD,3,1,4,0,11,19.0,5,1,2,2,,3,3,7,2,5,,,,,1.643,17.29,1.5048,0,thompson,markstrom,,,,,6.5,1,0.0
