season,date,gid,phase,away,home,away_1p,home_1p,total_1p,u25,ft,et_hour,dow,weekend,away_rest,home_rest,away_r5,home_r5,away_r15_n,home_r15_n,away_r15,home_r15,comb_r5_pct,comb_r15_pct,home_venue_r10,away_road_r10,env_1p_goals,env_1p_sog,env_1p_xg,h2h_last_u25,away_goalie,home_goalie,away_goalie_cls,home_goalie_cls,goalie_pair,total_line,espn_total,espn_books,espn_span
2025,2025-10-07,2025020001,reg,CHI,FLA,1,2,3,0,5,17.0,1,0,,,,,0,0,0,0,,,,,,,,,knight,bobrovsky,,,,,5.5,1,0.0
2025,2025-10-07,2025020002,reg,PIT,NYR,1,0,1,1,3,20.0,1,0,,,,,0,0,0,0,,,,,,,,,silovs,shesterkin,,,,,6.5,1,0.0
2025,2025-10-07,2025020003,reg,COL,LAK,0,0,0,1,5,22.5,1,0,,,,,0,0,0,0,,,,,,,,,wedgewood,kuemper,,,,,5.5,1,0.0
2025,2025-10-08,2025020004,reg,MTL,TOR,1,1,2,1,7,19.0,2,0,,,,,0,0,0,0,,,,,,,,,montembeault,stolarz,,,,,5.5,1,0.0
2025,2025-10-08,2025020005,reg,BOS,WSH,0,0,0,1,4,19.5,2,0,,,,,0,0,0,0,,,,,,,,,swayman,thompson,,,,,5.5,1,0.0
2025,2025-10-08,2025020006,reg,CGY,EDM,0,2,2,1,7,22.0,2,0,,,,,0,0,0,0,,,,,,,,,wolf,skinner,,,,,5.5,1,0.0
2025,2025-10-08,2025020007,reg,LAK,VGK,2,0,2,1,11,22.0,2,0,1,,,,1,0,1,0,,,,,,,,,forsberg,hill,,,,,5.5,1,0.0
2025,2025-10-09,2025020008,reg,CHI,BOS,1,1,2,1,7,19.0,3,0,2,1,,,1,1,0,1,,,,,1.5,16.5,1.7412,,soderblom,korpisalo,,,,,5.5,1,0.0
2025,2025-10-09,2025020009,reg,NYR,BUF,1,0,1,1,4,19.0,3,0,2,,,,1,0,1,0,,,,,,,,,shesterkin,lyon,,,,,6.5,1,0.0
2025,2025-10-09,2025020010,reg,MTL,DET,3,1,4,0,6,19.0,3,0,1,,,,1,0,1,0,,,,,,,,,dobes,gibson,,,,,6.5,1,0.0
2025,2025-10-09,2025020011,reg,OTT,TBL,1,3,4,0,9,19.0,3,0,,,,,0,0,0,0,,,,,,,,,ullmark,vasilevskiy,,,,,6.5,1,0.0
2025,2025-10-09,2025020012,reg,PHI,FLA,0,0,0,1,3,19.0,3,0,,2,,,0,1,0,0,,,,,,,,,vladar,bobrovsky,,,,,5.5,1,0.0
2025,2025-10-09,2025020013,reg,NYI,PIT,1,1,2,1,7,19.0,3,0,,2,,,0,1,0,1,,,,,,,,,sorokin,jarry,,,,,5.5,1,0.0
2025,2025-10-09,2025020014,reg,NJD,CAR,0,1,1,1,9,19.5,3,0,,,,,0,0,0,0,,,,,,,,,markstrom,andersen,,,,,5.5,1,0.0
2025,2025-10-09,2025020015,reg,MIN,STL,2,0,2,1,5,20.0,3,0,,,,,0,0,0,0,,,,,,,,,gustavsson,binnington,,,,,5.5,1,0.0
2025,2025-10-09,2025020016,reg,CBJ,NSH,1,1,2,1,3,20.0,3,0,,,,,0,0,0,0,,,,,,,,,greaves,saros,,,,,6.5,1,0.0
2025,2025-10-09,2025020017,reg,DAL,WPG,2,1,3,0,9,20.0,3,0,,,,,0,0,0,0,,,,,,,,,oettinger,hellebuyck,,,,,5.5,1,0.0
2025,2025-10-09,2025020018,reg,UTA,COL,0,1,1,1,3,21.0,3,0,,2,,,0,1,0,1,,,,,,,,,vejmelka,wedgewood,,,,,6.5,1,0.0
2025,2025-10-09,2025020019,reg,CGY,VAN,0,1,1,1,6,22.0,3,0,1,,,,1,0,1,0,,,,,,,,,wolf,demko,,,,,5.5,1,0.0
2025,2025-10-09,2025020020,reg,VGK,SJS,1,1,2,1,7,22.0,3,0,1,,,,1,0,1,0,,,,,,,,,schmid,nedeljkovic,,,,,6.5,1,0.0
2025,2025-10-09,2025020021,reg,ANA,SEA,1,1,2,1,4,22.0,3,0,,,,,0,0,0,0,,,,,,,,,dostal,daccord,,,,,6.5,1,0.0
2025,2025-10-11,2025020022,reg,LAK,WPG,0,1,1,1,5,13.5,5,1,3,2,,,2,1,2,0,,,,,2.0,15.5,1.4385,,kuemper,hellebuyck,,,,,5.5,1,0.0
2025,2025-10-11,2025020023,reg,STL,CGY,0,1,1,1,6,16.0,5,1,2,2,,,1,2,1,2,,,,,1.75,14.25,1.0656,,hofer,wolf,,,,,5.5,1,0.0
2025,2025-10-11,2025020024,reg,BUF,BOS,0,1,1,1,4,19.0,5,1,2,2,,,1,2,1,2,,,,,1.0,21.25,1.0812,,lyon,swayman,,,,,6.5,1,0.0
2025,2025-10-11,2025020025,reg,TOR,DET,2,0,2,1,9,19.0,5,1,3,2,,,1,1,1,0,,,,,3.0,19.5,1.5511,,stolarz,talbot,,,,,6.5,1,0.0
2025,2025-10-11,2025020026,reg,NJD,TBL,3,0,3,0,8,19.0,5,1,2,2,,,1,1,1,0,,,,,2.5,21.0,2.1852,,markstrom,vasilevskiy,,,,,6.5,1,0.0
2025,2025-10-11,2025020027,reg,OTT,FLA,1,2,3,0,8,19.0,5,1,2,2,,,1,2,0,1,,,,,2.75,23.25,2.4659,,ullmark,bobrovsky,,,,,5.5,1,0.0
2025,2025-10-11,2025020028,reg,WSH,NYI,2,0,2,1,6,19.0,5,1,3,2,,,1,1,1,1,,,,,1.0,18.0,1.5101,,thompson,sorokin,,,,,5.5,1,0.0
2025,2025-10-11,2025020029,reg,NYR,PIT,1,0,1,1,7,19.0,5,1,2,2,,,2,2,2,2,,,,,1.25,20.0,1.6617,1,shesterkin,silovs,,,,,5.5,1,0.0
2025,2025-10-11,2025020030,reg,PHI,CAR,1,0,1,1,7,19.0,5,1,2,2,,,1,1,1,1,,,,,0.5,17.0,1.5208,,ersson,andersen,,,,,5.5,1,0.0
2025,2025-10-11,2025020031,reg,MTL,CHI,0,0,0,1,5,19.0,5,1,2,2,,,2,2,1,1,,,,,2.75,19.25,1.6001,,montembeault,knight,,,,,6.5,1,0.0
2025,2025-10-11,2025020032,reg,UTA,NSH,1,1,2,1,5,20.0,5,1,2,2,,,1,1,1,1,,,,,1.5,24.5,1.6739,,vejmelka,saros,,,,,5.5,1,0.0
2025,2025-10-11,2025020033,reg,CBJ,MIN,1,0,1,1,11,20.0,5,1,2,2,,,1,1,1,1,,,,,2.0,19.5,1.3965,,merzlikins,gustavsson,,,,,6.5,1,0.0
2025,2025-10-11,2025020034,reg,DAL,COL,1,0,1,1,9,21.0,5,1,2,2,,,1,2,0,2,,,,,1.75,17.5,1.4547,,oettinger,wedgewood,,,,,6.5,1,0.0
2025,2025-10-11,2025020035,reg,VAN,EDM,0,0,0,1,4,22.0,5,1,2,3,,,1,1,1,1,,,,,1.5,13.5,0.8638,,demko,pickard,,,,,5.5,1,0.0
2025,2025-10-11,2025020036,reg,ANA,SJS,2,2,4,0,13,22.0,5,1,2,2,,,1,1,1,1,,,,,2.0,20.5,1.3845,,mrazek,askarov,,,,,6.5,1,0.0
2025,2025-10-11,2025020037,reg,VGK,SEA,0,0,0,1,3,22.0,5,1,2,2,,,2,1,2,1,,,,,2.0,20.0,1.4183,,hill,daccord,,,,,5.5,1,0.0
2025,2025-10-12,2025020038,reg,WSH,NYR,0,0,0,1,1,19.0,6,1,1,1,,,2,3,2,3,,,,,1.0,15.41,1.4941,,lindgren,quick,,,,,6.5,1,0.0
2025,2025-10-13,2025020039,reg,COL,BUF,1,1,2,1,4,12.5,0,0,2,2,,,3,2,3,2,,,,,0.834,21.0,1.4757,,wedgewood,lyon,,,,,6.5,1,0.0
2025,2025-10-13,2025020040,reg,TBL,BOS,2,0,2,1,7,13.0,0,0,2,2,,,2,3,0,3,,,,,2.25,19.84,1.8384,,johansson,korpisalo,,,,,6.5,1,0.0
2025,2025-10-13,2025020041,reg,NSH,OTT,0,0,0,1,5,13.0,0,0,2,2,,,2,2,2,0,,,,,2.75,21.25,1.9549,,saros,ullmark,,,,,5.5,1,0.0
2025,2025-10-13,2025020042,reg,WPG,NYI,2,0,2,1,7,13.0,0,0,2,2,,,2,2,1,2,,,,,2.0,18.5,1.8534,,comrie,sorokin,,,,,5.5,1,0.0
2025,2025-10-13,2025020043,reg,DET,TOR,1,0,1,1,5,14.0,0,0,2,2,,,2,2,1,2,,,,,2.5,20.25,1.6526,1,talbot,stolarz,,,,,6.5,1,0.0
2025,2025-10-13,2025020044,reg,FLA,PHI,0,1,1,1,7,19.0,0,0,2,2,,,3,2,1,2,,,,,1.25,19.34,2.1886,1,tarasov,vladar,,,,,5.5,1,0.0
2025,2025-10-13,2025020045,reg,NJD,CBJ,1,0,1,1,5,19.0,0,0,2,2,,,2,2,1,2,,,,,1.75,20.25,1.5871,,allen,greaves,,,,,6.5,1,0.0
2025,2025-10-13,2025020046,reg,STL,VAN,1,0,1,1,7,19.5,0,0,2,2,,,2,2,2,2,,,,,1.0,15.0,1.4726,,binnington,lankinen,,,,,5.5,1,0.0
2025,2025-10-13,2025020047,reg,LAK,MIN,0,3,3,0,7,20.0,0,0,2,2,,,3,2,3,2,,,,,1.25,18.34,1.7138,,kuemper,wallstedt,,,,,5.5,1,0.0
2025,2025-10-13,2025020048,reg,UTA,CHI,0,0,0,1,4,20.5,0,0,2,2,,,2,3,2,2,,,,,1.583,19.16,1.776,,vanecek,knight,,,,,5.5,1,0.0
2025,2025-10-14,2025020049,reg,NSH,TOR,0,2,2,1,11,19.0,1,0,1,1,,,3,3,3,3,,,,,1.5,18.84,1.5676,,annunen,primeau,,,,,6.5,1,0.0
2025,2025-10-14,2025020050,reg,SEA,MTL,0,1,1,1,9,19.0,1,0,3,3,,,2,3,2,2,,,,,1.5,18.34,1.421,,daccord,montembeault,,,,,5.5,1,0.0
2025,2025-10-14,2025020051,reg,EDM,NYR,0,0,0,1,2,19.0,1,0,3,2,,,2,4,2,4,,,,,0.875,17.38,1.83,,skinner,shesterkin,,,,,5.5,1,0.0
2025,2025-10-14,2025020052,reg,TBL,WSH,1,0,1,1,5,19.0,1,0,1,2,,,3,3,1,3,,,,,1.833,18.84,1.7995,,vasilevskiy,thompson,,,,,5.5,1,0.0
2025,2025-10-14,2025020053,reg,VGK,CGY,0,2,2,1,6,21.0,1,0,3,3,,,3,3,3,3,,,,,1.333,15.33,1.2705,,hill,wolf,,,,,5.5,1,0.0
2025,2025-10-14,2025020054,reg,MIN,DAL,0,2,2,1,7,21.5,1,0,1,3,,,3,2,2,1,,,,,2.0,18.75,1.4752,,gustavsson,oettinger,,,,,5.5,1,0.0
2025,2025-10-14,2025020055,reg,CAR,SJS,0,0,0,1,6,22.0,1,0,3,3,,,2,2,2,1,,,,,2.0,19.0,2.2485,,bussi,nedeljkovic,,,,,6.5,1,0.0
