date,season,round,away,home,away_1p,home_1p,total_1p,u2.5_hit,game_id
2025-05-04,2024-25,1,STL,WPG,2,0,2,1,2024030157
2025-05-05,2024-25,2,FLA,TOR,1,3,4,0,2024030211
2025-05-06,2024-25,2,CAR,WSH,0,0,0,1,2024030221
2025-05-06,2024-25,2,EDM,VGK,1,2,3,0,2024030241
2025-05-07,2024-25,2,FLA,TOR,1,1,2,1,2024030212
2025-05-07,2024-25,2,DAL,WPG,0,0,0,1,2024030231
2025-05-08,2024-25,2,CAR,WSH,0,0,0,1,2024030222
2025-05-08,2024-25,2,EDM,VGK,0,1,1,1,2024030242
2025-05-09,2024-25,2,TOR,FLA,2,1,3,0,2024030213
2025-05-09,2024-25,2,DAL,WPG,0,2,2,1,2024030232
2025-05-10,2024-25,2,WSH,CAR,0,0,0,1,2024030223
2025-05-10,2024-25,2,VGK,EDM,2,2,4,0,2024030243
2025-05-11,2024-25,2,TOR,FLA,0,1,1,1,2024030214
2025-05-11,2024-25,2,WPG,DAL,1,2,3,0,2024030233
2025-05-12,2024-25,2,WSH,CAR,0,1,1,1,2024030224
2025-05-12,2024-25,2,VGK,EDM,0,2,2,1,2024030244
2025-05-13,2024-25,2,WPG,DAL,0,1,1,1,2024030234
2025-05-14,2024-25,2,FLA,TOR,1,0,1,1,2024030215
2025-05-14,2024-25,2,EDM,VGK,0,0,0,1,2024030245
2025-05-15,2024-25,2,CAR,WSH,1,1,2,1,2024030225
2025-05-15,2024-25,2,DAL,WPG,0,0,0,1,2024030235
2025-05-16,2024-25,2,TOR,FLA,0,0,0,1,2024030216
2025-05-17,2024-25,2,WPG,DAL,0,0,0,1,2024030236
2025-05-18,2024-25,2,FLA,TOR,0,0,0,1,2024030217
2025-05-20,2024-25,3,FLA,CAR,2,1,3,0,2024030311
2025-05-21,2024-25,3,EDM,DAL,1,1,2,1,2024030321
2025-05-22,2024-25,3,FLA,CAR,3,0,3,0,2024030312
2025-05-23,2024-25,3,EDM,DAL,1,0,1,1,2024030322
2025-05-24,2024-25,3,CAR,FLA,0,1,1,1,2024030313
2025-05-25,2024-25,3,DAL,EDM,0,2,2,1,2024030323
2025-05-26,2024-25,3,CAR,FLA,0,0,0,1,2024030314
2025-05-27,2024-25,3,DAL,EDM,0,1,1,1,2024030324
2025-05-28,2024-25,3,FLA,CAR,0,2,2,1,2024030315
2025-05-29,2024-25,3,EDM,DAL,3,1,4,0,2024030325
2025-06-04,2024-25,4,FLA,EDM,2,1,3,0,2024030411
2025-06-06,2024-25,4,FLA,EDM,2,3,5,0,2024030412
2025-06-09,2024-25,4,EDM,FLA,0,2,2,1,2024030413
2025-06-12,2024-25,4,EDM,FLA,0,3,3,0,2024030414
2025-06-14,2024-25,4,FLA,EDM,2,0,2,1,2024030415
2025-06-17,2024-25,4,EDM,FLA,0,2,2,1,2024030416
