date,season,round,away,home,away_1p,home_1p,total_1p,u2.5_hit,game_id
2022-05-03,2021-22,1,NSH,COL,0,5,5,0,2021030151
2022-05-03,2021-22,1,DAL,CGY,0,1,1,1,2021030171
2022-05-04,2021-22,1,TBL,TOR,1,0,1,1,2021030122
2022-05-04,2021-22,1,BOS,CAR,0,2,2,1,2021030132
2022-05-04,2021-22,1,STL,MIN,0,3,3,0,2021030162
2022-05-04,2021-22,1,LAK,EDM,0,0,0,1,2021030182
2022-05-05,2021-22,1,WSH,FLA,0,2,2,1,2021030112
2022-05-05,2021-22,1,PIT,NYR,1,1,2,1,2021030142
2022-05-05,2021-22,1,NSH,COL,1,1,2,1,2021030152
2022-05-05,2021-22,1,DAL,CGY,1,0,1,1,2021030172
2022-05-06,2021-22,1,TOR,TBL,2,0,2,1,2021030123
2022-05-06,2021-22,1,CAR,BOS,1,1,2,1,2021030133
2022-05-06,2021-22,1,MIN,STL,2,0,2,1,2021030163
2022-05-06,2021-22,1,EDM,LAK,2,0,2,1,2021030183
2022-05-07,2021-22,1,FLA,WSH,1,1,2,1,2021030113
2022-05-07,2021-22,1,NYR,PIT,1,4,5,0,2021030143
2022-05-07,2021-22,1,COL,NSH,2,1,3,0,2021030153
2022-05-07,2021-22,1,CGY,DAL,1,1,2,1,2021030173
2022-05-08,2021-22,1,TOR,TBL,0,3,3,0,2021030124
2022-05-08,2021-22,1,CAR,BOS,1,1,2,1,2021030134
2022-05-08,2021-22,1,MIN,STL,1,1,2,1,2021030164
2022-05-08,2021-22,1,EDM,LAK,0,2,2,1,2021030184
2022-05-09,2021-22,1,FLA,WSH,1,1,2,1,2021030114
2022-05-09,2021-22,1,NYR,PIT,1,1,2,1,2021030144
2022-05-09,2021-22,1,COL,NSH,1,1,2,1,2021030154
2022-05-09,2021-22,1,CGY,DAL,0,0,0,1,2021030174
2022-05-10,2021-22,1,TBL,TOR,2,0,2,1,2021030125
2022-05-10,2021-22,1,BOS,CAR,0,2,2,1,2021030135
2022-05-10,2021-22,1,STL,MIN,1,2,3,0,2021030165
2022-05-10,2021-22,1,LAK,EDM,1,0,1,1,2021030185
2022-05-11,2021-22,1,WSH,FLA,1,0,1,1,2021030115
2022-05-11,2021-22,1,PIT,NYR,1,0,1,1,2021030145
2022-05-11,2021-22,1,DAL,CGY,0,0,0,1,2021030175
2022-05-12,2021-22,1,TOR,TBL,0,1,1,1,2021030126
2022-05-12,2021-22,1,CAR,BOS,0,0,0,1,2021030136
2022-05-12,2021-22,1,MIN,STL,0,1,1,1,2021030166
2022-05-12,2021-22,1,EDM,LAK,1,0,1,1,2021030186
2022-05-13,2021-22,1,FLA,WSH,0,0,0,1,2021030116
2022-05-13,2021-22,1,NYR,PIT,0,2,2,1,2021030146
2022-05-13,2021-22,1,CGY,DAL,0,1,1,1,2021030176
2022-05-14,2021-22,1,TBL,TOR,1,0,1,1,2021030127
2022-05-14,2021-22,1,BOS,CAR,0,1,1,1,2021030137
2022-05-14,2021-22,1,LAK,EDM,0,0,0,1,2021030187
2022-05-15,2021-22,1,PIT,NYR,1,1,2,1,2021030147
2022-05-15,2021-22,1,DAL,CGY,1,0,1,1,2021030177
2022-05-17,2021-22,2,TBL,FLA,0,1,1,1,2021030211
2022-05-17,2021-22,2,STL,COL,1,0,1,1,2021030231
2022-05-18,2021-22,2,NYR,CAR,1,0,1,1,2021030221
2022-05-18,2021-22,2,EDM,CGY,1,3,4,0,2021030241
2022-05-19,2021-22,2,TBL,FLA,1,0,1,1,2021030212
2022-05-19,2021-22,2,STL,COL,0,0,0,1,2021030232
2022-05-20,2021-22,2,NYR,CAR,0,0,0,1,2021030222
2022-05-20,2021-22,2,EDM,CGY,1,2,3,0,2021030242
2022-05-21,2021-22,2,COL,STL,1,1,2,1,2021030233
2022-05-22,2021-22,2,FLA,TBL,1,1,2,1,2021030213
2022-05-22,2021-22,2,CAR,NYR,0,1,1,1,2021030223
2022-05-22,2021-22,2,CGY,EDM,0,0,0,1,2021030243
2022-05-23,2021-22,2,FLA,TBL,0,0,0,1,2021030214
2022-05-23,2021-22,2,COL,STL,0,1,1,1,2021030234
2022-05-24,2021-22,2,CAR,NYR,0,2,2,1,2021030224
2022-05-24,2021-22,2,CGY,EDM,0,3,3,0,2021030244
2022-05-25,2021-22,2,STL,COL,0,2,2,1,2021030235
2022-05-26,2021-22,2,NYR,CAR,1,1,2,1,2021030225
2022-05-26,2021-22,2,EDM,CGY,0,1,1,1,2021030245
2022-05-27,2021-22,2,COL,STL,0,1,1,1,2021030236
2022-05-28,2021-22,2,CAR,NYR,0,2,2,1,2021030226
2022-05-30,2021-22,2,NYR,CAR,2,0,2,1,2021030227
2022-05-31,2021-22,3,EDM,COL,2,3,5,0,2021030321
2022-06-01,2021-22,3,TBL,NYR,1,1,2,1,2021030311
2022-06-02,2021-22,3,EDM,COL,0,0,0,1,2021030322
2022-06-03,2021-22,3,TBL,NYR,1,2,3,0,2021030312
2022-06-04,2021-22,3,COL,EDM,1,1,2,1,2021030323
2022-06-05,2021-22,3,NYR,TBL,0,0,0,1,2021030313
2022-06-06,2021-22,3,COL,EDM,1,0,1,1,2021030324
2022-06-07,2021-22,3,NYR,TBL,0,1,1,1,2021030314
2022-06-09,2021-22,3,TBL,NYR,0,0,0,1,2021030315
2022-06-11,2021-22,3,NYR,TBL,0,0,0,1,2021030316
2022-06-15,2021-22,4,TBL,COL,1,3,4,0,2021030411
2022-06-18,2021-22,4,TBL,COL,0,3,3,0,2021030412
2022-06-20,2021-22,4,COL,TBL,1,2,3,0,2021030413
